satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,department,salary,left,,salary_figure,new_salaries,,,,low,,
0.84,0.94,4,270,3,1,0,support,low,0,,23194,23500,,,,,,
0.72,0.68,4,238,3,0,0,support,low,0,,17966,24500,,,,,,
0.68,0.85,4,156,2,0,0,support,low,0,,15942,25500,,,,,,
0.99,0.96,5,261,3,0,0,support,high,0,,61888,90000,,,,,,
0.74,0.85,5,135,2,0,0,support,low,0,,18881,23500,,,,,,
0.8,0.41,6,185,4,0,0,support,medium,0,,32372,56000,,,,,,
0.55,0.55,3,197,3,0,0,support,high,0,,78273,85000,,,,,,
0.56,0.95,3,241,3,0,0,support,medium,0,,35666,50000,,,,,,
0.88,0.98,3,263,3,1,0,technical,high,0,,62896,90000,,,,,,
0.86,0.49,4,251,2,0,0,technical,medium,0,,44277,43000,,,,,,
0.64,0.95,3,218,2,0,0,technical,medium,0,,34971,56000,,,,,,
0.82,0.58,4,183,3,0,0,management,medium,0,,34849,43000,,,,,,
0.66,0.8,4,252,3,0,0,IT,medium,0,,26418,50000,,,,,,
0.64,0.95,3,98,3,0,0,IT,medium,0,,27749,50000,,,,,,
0.17,0.78,6,284,4,0,0,IT,medium,0,,26603,56000,,,,,,
0.75,0.68,4,220,2,0,0,IT,medium,0,,48293,56000,,,,,,
0.45,0.39,4,275,3,0,0,IT,medium,0,,28480,50000,,,,,,
0.99,0.9,4,164,3,0,0,product_mng,high,0,,61667,90000,,,,,,
0.93,0.67,5,237,4,0,0,product_mng,low,0,,23381,24500,,,,,,
0.88,0.8,3,133,3,0,0,product_mng,medium,0,,28780,50000,,,,,,
0.62,0.52,5,256,4,0,0,product_mng,medium,0,,48280,43000,,,,,,
0.94,0.88,4,270,3,0,0,IT,medium,0,,45419,56000,,,,,,
0.59,0.92,4,196,2,0,0,RandD,medium,0,,31128,56000,,,,,,
0.93,0.89,4,209,2,0,0,RandD,medium,0,,32268,56000,,,,,,
0.71,0.39,3,261,3,0,0,RandD,medium,0,,48618,56000,,,,,,
0.6,0.6,3,221,2,0,0,RandD,medium,0,,38334,50000,,,,,,
0.71,0.69,4,180,3,1,0,RandD,medium,0,,33987,56000,,,,,,
0.91,0.57,4,145,3,0,0,marketing,medium,0,,49322,56000,,,,,,
0.78,0.96,4,111,2,0,0,sales,high,0,,72648,90000,,,,,,
0.52,0.63,4,232,3,0,0,accounting,low,0,,24870,23500,,,,,,
0.99,0.7,5,195,3,0,0,support,low,0,,15895,25500,,,,,,
0.86,0.51,4,211,2,1,0,technical,low,0,,21145,23500,,,,,,
0.74,0.68,4,194,2,0,0,management,high,0,,71031,85000,,,,,,
0.15,0.84,4,275,5,0,0,marketing,low,0,,20138,24500,,,,,,
0.57,0.54,3,140,3,0,0,marketing,low,0,,20617,25500,,,,,,
0.67,0.6,3,157,3,0,0,marketing,low,0,,20971,25500,,,,,,
0.8,0.93,4,258,3,0,0,sales,high,0,,76428,80000,,,,,,
0.83,0.82,5,273,4,0,0,sales,low,0,,15628,23500,,,,,,
0.69,0.53,3,135,2,0,0,sales,low,0,,24415,24500,,,,,,
0.64,0.83,3,188,4,0,0,sales,low,0,,15592,25500,,,,,,
0.95,0.52,5,222,2,0,0,sales,low,0,,18914,25500,,,,,,
0.97,0.52,4,231,3,0,0,sales,low,0,,15709,25500,,,,,,
0.85,0.86,3,255,2,0,0,sales,low,0,,16359,25500,,,,,,
0.72,0.51,3,254,2,0,0,sales,low,0,,24423,24500,,,,,,
0.91,0.85,3,244,3,1,0,sales,medium,0,,37503,43000,,,,,,
0.81,0.83,3,132,4,0,0,sales,medium,0,,36990,50000,,,,,,
0.13,0.67,5,234,6,0,0,sales,medium,0,,33545,43000,,,,,,
0.95,0.81,4,272,3,0,0,sales,medium,0,,26692,50000,,,,,,
0.82,0.54,4,191,3,0,0,sales,medium,0,,26199,50000,,,,,,
0.63,0.93,4,238,4,0,0,sales,medium,0,,48918,50000,,,,,,
0.55,0.69,3,225,2,0,0,sales,medium,0,,48135,56000,,,,,,
0.83,0.95,3,211,2,0,0,sales,medium,0,,37971,50000,,,,,,
0.54,0.98,3,217,3,0,0,sales,medium,0,,28933,43000,,,,,,
0.89,0.91,5,156,4,0,0,sales,medium,0,,42167,50000,,,,,,
0.79,0.55,3,147,3,0,0,sales,medium,0,,30447,56000,,,,,,
0.56,0.73,4,134,3,0,0,accounting,medium,0,,40008,50000,,,,,,
0.89,0.7,4,235,2,1,0,accounting,high,0,,73402,85000,,,,,,
1,0.66,4,238,4,0,0,accounting,low,0,,23083,25500,,,,,,
0.43,0.72,3,258,4,0,0,hr,medium,0,,49341,56000,,,,,,
0.71,0.55,5,224,3,0,0,hr,medium,0,,48772,43000,,,,,,
0.98,0.59,4,149,2,0,0,hr,medium,0,,42188,43000,,,,,,
0.81,0.7,4,219,2,1,0,hr,medium,0,,36197,43000,,,,,,
0.71,0.53,3,186,2,0,0,technical,low,0,,23365,25500,,,,,,
0.99,0.6,4,259,4,0,0,technical,low,0,,14764,25500,,,,,,
0.34,0.62,3,119,2,0,0,technical,low,0,,20377,25500,,,,,,
0.58,0.91,3,223,2,0,0,technical,low,0,,20864,23500,,,,,,
0.77,0.49,4,184,3,0,0,technical,low,0,,17107,24500,,,,,,
0.64,0.5,3,238,4,0,0,technical,low,0,,14023,25500,,,,,,
0.13,1,4,157,5,1,0,technical,low,0,,23274,25500,,,,,,
0.98,0.6,2,249,3,0,0,technical,low,0,,15869,25500,,,,,,
0.72,0.84,4,195,2,0,0,technical,low,0,,15290,25500,,,,,,
0.55,0.79,3,162,2,0,0,technical,low,0,,17708,23500,,,,,,
0.62,0.91,4,231,3,0,0,technical,low,0,,15969,23500,,,,,,
0.74,0.91,2,264,3,0,0,support,low,0,,18833,24500,,,,,,
0.69,0.96,3,210,3,0,0,support,low,0,,19910,24500,,,,,,
0.6,0.63,4,192,3,0,0,support,low,0,,16489,25500,,,,,,
0.54,0.43,3,192,2,0,0,support,low,0,,22473,25500,,,,,,
0.56,0.75,4,249,3,0,0,support,low,0,,15978,24500,,,,,,
0.58,0.86,5,206,3,0,0,support,low,0,,24555,24500,,,,,,
0.21,0.66,4,165,5,0,0,support,low,0,,16513,24500,,,,,,
0.52,0.85,5,183,3,0,0,support,low,0,,21624,24500,,,,,,
0.98,0.7,4,253,2,0,0,support,low,0,,16137,23500,,,,,,
0.85,0.97,3,256,3,0,0,support,low,0,,16561,24500,,,,,,
0.62,0.88,2,263,4,0,0,support,medium,0,,36337,50000,,,,,,
0.63,0.61,3,234,3,1,0,technical,medium,0,,43147,56000,,,,,,
0.84,0.97,6,223,2,0,0,technical,medium,0,,33067,50000,,,,,,
0.71,0.69,2,172,3,0,0,technical,medium,0,,32583,56000,,,,,,
0.36,0.55,6,226,6,0,0,management,medium,0,,45014,56000,,,,,,
0.79,0.56,6,205,4,1,0,IT,medium,0,,46045,43000,,,,,,
0.59,0.55,4,235,2,0,0,IT,medium,0,,32960,43000,,,,,,
0.5,0.53,4,263,3,0,0,IT,medium,0,,31815,50000,,,,,,
0.88,0.66,4,271,3,1,0,IT,medium,0,,38015,56000,,,,,,
0.65,0.69,6,131,5,0,0,IT,medium,0,,45508,43000,,,,,,
0.71,0.56,4,238,4,0,0,product_mng,medium,0,,34299,43000,,,,,,
0.89,0.54,3,214,2,0,0,product_mng,medium,0,,31037,56000,,,,,,
0.83,0.84,3,267,3,0,0,product_mng,high,0,,58220,80000,,,,,,
0.73,0.53,3,184,2,0,0,product_mng,low,0,,15180,24500,,,,,,
0.71,0.67,3,264,3,0,0,IT,medium,0,,28529,43000,,,,,,
0.53,0.66,3,109,2,0,0,RandD,medium,0,,41161,43000,,,,,,
0.74,0.7,3,253,4,1,0,RandD,medium,0,,36964,50000,,,,,,
0.6,0.52,4,207,2,1,0,RandD,medium,0,,44719,43000,,,,,,
0.47,0.6,4,263,5,0,0,RandD,low,0,,17203,23500,,,,,,
0.88,0.88,3,214,2,1,0,RandD,low,0,,19326,24500,,,,,,
0.62,0.67,2,153,3,0,0,marketing,low,0,,21150,24500,,,,,,
0.24,0.48,5,123,5,1,0,sales,low,0,,23106,25500,,,,,,
0.15,0.36,5,159,2,0,0,accounting,low,0,,19352,24500,,,,,,
0.92,0.82,3,185,3,0,0,support,low,0,,15675,23500,,,,,,
0.74,0.7,4,167,3,1,0,technical,low,0,,22508,23500,,,,,,
0.86,0.77,3,271,3,0,0,management,low,0,,20073,23500,,,,,,
0.96,0.61,3,140,3,0,0,marketing,low,0,,22811,24500,,,,,,
0.54,0.6,4,141,3,0,0,marketing,low,0,,19203,24500,,,,,,
0.99,0.87,4,190,2,0,0,marketing,low,0,,23713,25500,,,,,,
0.72,0.73,5,134,2,0,0,sales,low,0,,16870,23500,,,,,,
0.96,0.75,5,176,4,0,0,sales,low,0,,15843,25500,,,,,,
0.73,0.73,4,194,2,0,0,sales,low,0,,16405,23500,,,,,,
0.67,0.44,5,212,4,0,0,sales,low,0,,24845,23500,,,,,,
0.58,0.72,5,234,3,1,0,sales,low,0,,16832,24500,,,,,,
0.9,0.99,4,190,2,0,0,sales,low,0,,24938,24500,,,,,,
0.99,0.37,5,155,3,0,0,sales,low,0,,16904,24500,,,,,,
0.89,0.58,4,232,2,0,0,sales,low,0,,17813,24500,,,,,,
0.72,0.95,4,216,3,0,0,sales,low,0,,24807,24500,,,,,,
0.77,0.8,3,207,3,0,0,sales,low,0,,15500,25500,,,,,,
0.8,0.94,4,200,4,0,0,sales,medium,0,,26299,43000,,,,,,
0.89,0.86,3,178,4,0,0,sales,medium,0,,46351,56000,,,,,,
0.59,0.81,4,173,2,0,0,sales,medium,0,,32118,50000,,,,,,
0.24,0.87,5,268,5,0,0,sales,medium,0,,33474,43000,,,,,,
0.94,0.59,6,212,2,0,0,sales,medium,0,,45206,43000,,,,,,
0.74,0.5,4,216,3,0,0,sales,medium,0,,42462,43000,,,,,,
0.63,0.62,5,212,6,0,0,sales,medium,0,,28727,43000,,,,,,
0.63,0.59,3,155,3,1,0,sales,medium,0,,40236,50000,,,,,,
0.77,0.65,4,164,2,0,0,sales,medium,0,,49632,50000,,,,,,
0.87,0.74,3,209,3,0,0,accounting,medium,0,,38975,56000,,,,,,
0.79,0.61,4,136,3,0,0,accounting,medium,0,,26309,50000,,,,,,
0.54,0.84,4,223,3,0,0,accounting,medium,0,,48057,56000,,,,,,
0.59,0.83,4,239,4,0,0,hr,high,0,,66287,80000,,,,,,
0.86,0.87,3,205,4,0,0,hr,low,0,,18262,24500,,,,,,
0.98,0.68,3,203,3,0,0,hr,medium,0,,37453,56000,,,,,,
1,0.79,5,152,4,0,0,hr,medium,0,,44440,50000,,,,,,
0.9,0.79,4,236,3,1,0,technical,medium,0,,46308,43000,,,,,,
0.34,0.6,4,114,3,0,0,technical,medium,0,,40958,43000,,,,,,
0.95,0.93,3,209,2,0,0,technical,low,0,,14943,25500,,,,,,
0.79,0.48,4,178,2,0,0,technical,low,0,,24654,23500,,,,,,
0.13,0.91,4,175,5,0,0,technical,low,0,,18878,25500,,,,,,
0.72,0.69,3,270,4,0,0,technical,low,0,,18350,25500,,,,,,
0.63,0.54,3,145,2,1,0,technical,low,0,,23001,23500,,,,,,
0.81,0.76,5,134,2,0,0,technical,low,0,,20942,24500,,,,,,
0.71,0.75,4,272,4,0,0,technical,low,0,,15795,25500,,,,,,
0.49,0.76,3,208,2,0,0,technical,low,0,,23060,23500,,,,,,
0.59,0.65,4,219,3,1,0,technical,low,0,,23764,25500,,,,,,
0.87,0.59,5,154,3,0,0,support,low,0,,23476,23500,,,,,,
0.66,0.6,3,179,4,0,0,support,low,0,,14905,25500,,,,,,
0.78,0.92,5,137,2,0,0,support,low,0,,18078,23500,,,,,,
0.65,0.7,4,211,2,0,0,support,low,0,,22377,23500,,,,,,
0.8,0.97,5,271,4,0,0,support,low,0,,23852,24500,,,,,,
0.56,0.75,4,192,2,0,0,support,low,0,,22420,23500,,,,,,
0.85,0.67,4,228,4,0,0,support,low,0,,19823,23500,,,,,,
0.14,0.46,2,267,6,1,0,support,low,0,,19615,25500,,,,,,
0.74,0.62,4,272,2,0,0,support,low,0,,23528,24500,,,,,,
0.86,0.93,2,260,2,0,0,support,low,0,,23875,25500,,,,,,
0.71,0.96,4,161,3,0,0,support,low,0,,15085,24500,,,,,,
0.83,0.99,4,226,2,0,0,technical,low,0,,18421,23500,,,,,,
0.52,0.49,4,249,4,1,0,technical,medium,0,,42653,43000,,,,,,
0.63,0.8,3,243,3,0,0,technical,medium,0,,47010,56000,,,,,,
0.92,0.93,4,247,2,0,0,management,medium,0,,39661,43000,,,,,,
0.66,0.87,3,186,2,0,0,IT,medium,0,,45914,50000,,,,,,
0.77,0.7,3,155,3,0,0,IT,medium,0,,41910,43000,,,,,,
0.74,0.97,2,135,4,0,0,IT,medium,0,,30238,56000,,,,,,
0.81,0.76,5,198,4,0,0,IT,medium,0,,46986,50000,,,,,,
0.67,0.55,3,175,2,0,0,IT,medium,0,,33375,56000,,,,,,
0.75,0.92,3,192,3,0,0,product_mng,medium,0,,37572,50000,,,,,,
0.65,0.36,2,282,3,0,0,product_mng,medium,0,,30886,50000,,,,,,
0.81,0.6,4,179,3,0,0,product_mng,medium,0,,41046,56000,,,,,,
0.57,0.77,4,245,3,0,0,product_mng,medium,0,,30707,43000,,,,,,
0.89,0.66,4,235,3,0,0,IT,high,0,,55857,90000,,,,,,
0.5,0.56,4,266,2,0,0,RandD,low,0,,18858,23500,,,,,,
0.21,0.42,4,269,4,1,0,RandD,medium,0,,34547,43000,,,,,,
0.79,0.67,3,264,2,0,0,RandD,medium,0,,37968,50000,,,,,,
0.66,0.57,3,161,2,1,0,RandD,medium,0,,37507,56000,,,,,,
0.82,0.95,3,203,3,0,0,RandD,medium,0,,27544,56000,,,,,,
0.85,0.85,4,258,2,0,0,marketing,low,0,,20097,23500,,,,,,
0.72,0.96,3,143,3,0,0,sales,low,0,,14424,23500,,,,,,
0.52,0.92,3,214,3,0,0,accounting,low,0,,17794,23500,,,,,,
0.5,0.62,4,166,3,1,0,support,low,0,,14188,24500,,,,,,
0.52,0.82,3,192,3,0,0,technical,low,0,,15711,23500,,,,,,
0.13,0.87,3,185,4,1,0,management,low,0,,24232,23500,,,,,,
0.87,0.98,4,173,3,0,0,marketing,low,0,,15869,23500,,,,,,
0.53,0.98,2,163,3,0,0,marketing,low,0,,19954,24500,,,,,,
0.15,0.76,5,277,4,0,0,marketing,low,0,,18852,23500,,,,,,
0.64,0.86,5,274,2,1,0,sales,low,0,,18565,25500,,,,,,
0.52,0.44,3,119,2,0,0,sales,low,0,,22659,25500,,,,,,
0.79,0.67,4,267,3,0,0,sales,low,0,,21475,23500,,,,,,
0.74,0.89,3,160,2,0,0,sales,low,0,,19693,25500,,,,,,
0.81,0.84,4,198,2,0,0,sales,low,0,,23963,25500,,,,,,
0.94,0.6,3,193,3,0,0,sales,low,0,,22384,24500,,,,,,
0.67,0.84,6,250,2,0,0,sales,low,0,,15675,23500,,,,,,
0.93,0.84,3,237,4,1,0,sales,low,0,,17268,25500,,,,,,
0.52,0.96,4,170,2,0,0,sales,low,0,,16798,25500,,,,,,
0.48,0.74,2,157,2,1,0,sales,medium,0,,38596,56000,,,,,,
0.57,0.92,6,267,4,0,0,sales,medium,0,,33309,56000,,,,,,
0.71,0.77,4,192,4,0,0,sales,medium,0,,32401,43000,,,,,,
0.9,0.74,4,218,2,1,0,sales,medium,0,,29816,50000,,,,,,
0.58,0.61,4,210,3,0,0,sales,medium,0,,26118,43000,,,,,,
0.66,0.48,4,229,4,0,0,sales,medium,0,,31510,56000,,,,,,
0.59,0.66,3,186,3,0,0,sales,medium,0,,31716,50000,,,,,,
0.96,0.5,3,234,2,1,0,sales,medium,0,,26754,50000,,,,,,
0.13,0.91,2,149,5,0,0,sales,medium,0,,34266,43000,,,,,,
0.93,0.92,3,205,3,0,0,sales,medium,0,,42692,56000,,,,,,
0.54,0.72,3,148,4,0,0,accounting,medium,0,,43466,50000,,,,,,
0.54,0.77,5,270,3,0,0,accounting,medium,0,,28283,50000,,,,,,
0.87,0.62,3,176,3,0,0,accounting,high,0,,63443,80000,,,,,,
0.79,0.91,3,226,2,0,0,hr,low,0,,14604,24500,,,,,,
0.83,0.57,3,232,4,0,0,hr,medium,0,,45950,50000,,,,,,
0.73,0.6,3,137,3,0,0,hr,medium,0,,29426,50000,,,,,,
0.29,0.42,6,253,3,0,0,hr,medium,0,,38974,56000,,,,,,
0.8,0.7,6,231,4,0,0,technical,medium,0,,30106,50000,,,,,,
0.29,0.81,3,189,6,0,0,technical,low,0,,17347,25500,,,,,,
0.43,0.85,6,168,2,0,0,technical,low,0,,17857,23500,,,,,,
0.99,0.93,3,261,3,0,0,technical,low,0,,19497,24500,,,,,,
0.86,0.51,4,152,3,0,0,technical,low,0,,17990,23500,,,,,,
0.85,0.78,5,263,2,1,0,technical,low,0,,24006,25500,,,,,,
0.66,0.68,3,258,3,0,0,technical,low,0,,17708,24500,,,,,,
0.57,0.99,3,205,3,0,0,technical,low,0,,22131,24500,,,,,,
0.31,0.64,6,183,2,1,0,technical,low,0,,18639,24500,,,,,,
0.88,0.88,3,153,3,0,0,technical,low,0,,21119,23500,,,,,,
0.72,0.72,5,194,4,0,0,technical,low,0,,17630,25500,,,,,,
0.75,0.66,4,202,2,0,0,support,low,0,,17310,25500,,,,,,
0.82,0.71,4,164,4,0,0,support,low,0,,22643,23500,,,,,,
0.82,0.67,3,213,2,0,0,support,low,0,,23273,23500,,,,,,
0.15,0.52,4,265,6,0,0,support,low,0,,17280,25500,,,,,,
0.16,0.88,6,218,3,0,0,support,low,0,,21460,23500,,,,,,
0.95,0.4,5,286,4,0,0,support,low,0,,18498,23500,,,,,,
0.87,0.73,3,172,3,1,0,support,low,0,,17632,23500,,,,,,
0.85,0.89,4,251,2,0,0,support,low,0,,15697,24500,,,,,,
0.58,0.6,3,110,3,1,0,support,low,0,,17717,23500,,,,,,
0.63,0.86,3,269,4,0,0,support,low,0,,16534,25500,,,,,,
0.69,0.68,3,151,3,1,0,support,low,0,,18687,23500,,,,,,
0.53,0.85,5,161,2,0,0,technical,medium,0,,27697,50000,,,,,,
0.96,0.71,4,210,3,0,0,technical,medium,0,,39242,50000,,,,,,
0.73,0.83,2,167,3,0,0,technical,medium,0,,29781,50000,,,,,,
0.5,0.6,3,270,3,1,0,management,medium,0,,48628,56000,,,,,,
0.81,0.83,3,133,3,1,0,IT,medium,0,,39810,43000,,,,,,
0.82,0.59,3,249,3,0,0,IT,medium,0,,31008,56000,,,,,,
0.76,0.72,4,266,3,0,0,IT,medium,0,,45323,56000,,,,,,
0.27,0.82,4,276,2,0,0,IT,medium,0,,46377,50000,,,,,,
0.64,0.38,6,215,3,0,0,IT,medium,0,,39341,43000,,,,,,
0.57,0.9,3,262,2,0,0,product_mng,medium,0,,36344,43000,,,,,,
0.49,0.84,5,193,3,0,0,product_mng,medium,0,,39391,43000,,,,,,
0.66,0.92,2,102,4,0,0,product_mng,medium,0,,48236,43000,,,,,,
0.71,0.36,4,278,4,1,0,product_mng,high,0,,71881,90000,,,,,,
0.61,0.63,3,250,4,0,0,IT,low,0,,14014,24500,,,,,,
0.52,0.89,5,193,4,0,0,RandD,medium,0,,47194,50000,,,,,,
0.62,0.91,3,133,3,0,0,RandD,medium,0,,28937,50000,,,,,,
0.98,0.65,4,216,4,0,0,RandD,medium,0,,35077,56000,,,,,,
0.67,0.56,5,174,2,1,0,RandD,medium,0,,42991,50000,,,,,,
0.85,0.62,2,280,4,0,0,RandD,low,0,,19681,23500,,,,,,
0.84,0.85,4,246,2,0,0,marketing,low,0,,18454,23500,,,,,,
1,0.53,3,142,3,0,0,sales,low,0,,17955,23500,,,,,,
0.72,0.76,4,144,3,1,0,accounting,low,0,,20599,25500,,,,,,
0.66,0.75,6,100,4,1,0,support,low,0,,24500,23500,,,,,,
0.64,0.71,5,212,2,0,0,technical,low,0,,21983,24500,,,,,,
1,0.76,5,201,3,0,0,management,low,0,,16340,24500,,,,,,
0.75,0.59,5,206,2,0,0,marketing,low,0,,23136,24500,,,,,,
0.81,0.77,4,197,3,0,0,marketing,low,0,,21981,23500,,,,,,
0.31,0.98,5,232,5,0,0,marketing,low,0,,21023,25500,,,,,,
0.32,0.97,6,272,2,0,0,sales,low,0,,17068,25500,,,,,,
0.48,0.5,4,173,3,0,0,sales,low,0,,14882,25500,,,,,,
0.62,0.42,2,124,2,0,0,sales,low,0,,20874,23500,,,,,,
0.77,0.86,5,282,4,0,0,sales,low,0,,19903,24500,,,,,,
0.76,0.8,2,219,4,1,0,sales,low,0,,17471,23500,,,,,,
0.68,0.41,3,106,6,0,0,sales,low,0,,18140,25500,,,,,,
0.72,0.79,4,192,4,0,0,sales,low,0,,16788,24500,,,,,,
0.87,0.91,5,190,2,0,0,sales,low,0,,23739,24500,,,,,,
0.59,0.57,2,156,2,0,0,sales,low,0,,14233,24500,,,,,,
0.7,0.64,3,180,2,0,0,sales,low,0,,18776,23500,,,,,,
0.73,0.81,4,245,2,0,0,sales,low,0,,14359,24500,,,,,,
0.58,0.62,3,169,2,0,0,sales,medium,0,,48270,56000,,,,,,
0.64,0.66,3,188,4,0,0,sales,medium,0,,41815,56000,,,,,,
0.89,0.66,5,224,2,0,0,sales,medium,0,,30771,43000,,,,,,
0.95,0.71,3,263,2,1,0,sales,medium,0,,42744,56000,,,,,,
0.84,0.9,3,262,2,0,0,sales,medium,0,,47794,43000,,,,,,
0.6,0.99,4,225,3,0,0,sales,medium,0,,47381,56000,,,,,,
0.71,0.63,5,224,3,1,0,sales,medium,0,,39234,43000,,,,,,
0.6,0.95,3,266,3,0,0,sales,medium,0,,34519,50000,,,,,,
0.91,0.68,3,218,3,1,0,accounting,medium,0,,44526,56000,,,,,,
0.75,1,3,102,3,0,0,accounting,medium,0,,30070,43000,,,,,,
0.7,0.67,4,181,3,0,0,accounting,medium,0,,43328,56000,,,,,,
0.23,0.64,5,150,5,0,0,hr,medium,0,,28010,56000,,,,,,
0.73,0.83,4,270,2,0,0,hr,high,0,,51572,90000,,,,,,
0.99,0.49,4,270,2,0,0,hr,low,0,,17836,23500,,,,,,
0.62,0.68,5,265,3,0,0,hr,medium,0,,47199,50000,,,,,,
0.98,0.89,4,169,3,0,0,technical,medium,0,,38612,56000,,,,,,
0.61,0.94,3,224,4,0,0,technical,medium,0,,39012,43000,,,,,,
0.52,0.92,3,150,2,1,0,technical,medium,0,,42046,43000,,,,,,
0.65,0.66,5,239,4,0,0,technical,low,0,,14086,24500,,,,,,
0.59,0.9,3,245,3,1,0,technical,low,0,,16552,24500,,,,,,
0.71,0.8,3,182,2,1,0,technical,low,0,,15976,25500,,,,,,
0.18,0.7,5,182,4,0,0,technical,low,0,,23146,24500,,,,,,
0.21,0.93,4,243,4,0,0,technical,low,0,,21719,25500,,,,,,
0.15,0.67,6,209,5,0,0,technical,low,0,,21579,24500,,,,,,
0.97,0.53,4,195,4,0,0,technical,low,0,,20808,25500,,,,,,
0.39,0.48,3,190,2,0,0,technical,low,0,,19360,24500,,,,,,
0.35,0.66,2,140,2,0,0,support,medium,0,,32728,50000,,,,,,
0.88,0.58,4,147,4,0,0,support,medium,0,,38725,56000,,,,,,
0.58,0.97,3,265,3,0,0,support,medium,0,,36808,43000,,,,,,
0.61,0.78,3,238,2,0,0,support,medium,0,,46274,50000,,,,,,
0.59,0.98,3,155,3,0,0,support,medium,0,,31135,56000,,,,,,
0.55,0.41,4,132,5,1,0,support,medium,0,,30823,56000,,,,,,
0.52,0.8,5,257,3,0,0,support,medium,0,,36252,56000,,,,,,
0.71,0.77,2,255,3,0,0,support,medium,0,,26461,56000,,,,,,
0.63,0.82,5,229,2,0,0,support,medium,0,,28973,56000,,,,,,
0.17,0.84,5,216,4,0,0,support,medium,0,,26805,50000,,,,,,
0.95,0.49,4,269,4,0,0,support,medium,0,,43581,56000,,,,,,
1,0.73,3,205,2,0,0,technical,medium,0,,49170,43000,,,,,,
0.73,0.96,2,151,3,0,0,technical,medium,0,,36488,50000,,,,,,
0.8,0.64,4,246,3,1,0,technical,medium,0,,29861,43000,,,,,,
0.63,0.8,4,256,4,0,0,management,medium,0,,38718,50000,,,,,,
0.95,0.59,4,235,3,0,0,IT,medium,0,,37591,50000,,,,,,
0.75,0.83,4,229,2,0,0,IT,medium,0,,35396,43000,,,,,,
0.64,0.72,5,158,3,0,0,IT,medium,0,,29502,43000,,,,,,
0.72,1,3,197,3,0,0,IT,medium,0,,36548,56000,,,,,,
0.72,0.53,3,151,4,0,0,IT,medium,0,,41674,56000,,,,,,
0.85,0.63,3,167,3,0,0,product_mng,medium,0,,40845,50000,,,,,,
0.24,0.94,4,146,4,0,0,product_mng,medium,0,,27730,50000,,,,,,
0.69,0.53,4,281,4,0,0,product_mng,medium,0,,28988,50000,,,,,,
0.69,0.7,3,212,2,0,0,product_mng,medium,0,,30315,56000,,,,,,
0.87,0.59,5,261,3,0,0,IT,medium,0,,37973,43000,,,,,,
0.78,0.91,3,238,2,0,0,RandD,high,0,,77193,85000,,,,,,
0.76,0.74,4,235,3,0,0,RandD,high,0,,51013,80000,,,,,,
0.35,0.7,3,107,3,0,0,RandD,high,0,,63068,90000,,,,,,
0.88,0.59,6,243,4,0,0,RandD,high,0,,70709,80000,,,,,,
0.78,0.79,5,233,3,1,0,RandD,high,0,,56861,80000,,,,,,
0.36,0.42,3,206,5,0,0,marketing,high,0,,56534,90000,,,,,,
0.24,0.7,5,172,4,0,0,sales,high,0,,61623,80000,,,,,,
0.55,0.82,3,248,2,0,0,accounting,high,0,,71074,80000,,,,,,
0.91,0.53,3,147,4,1,0,support,high,0,,52563,80000,,,,,,
0.66,0.61,5,259,3,0,0,technical,high,0,,55630,90000,,,,,,
0.57,0.82,3,267,3,0,0,management,high,0,,63131,80000,,,,,,
0.64,0.64,3,263,3,0,0,marketing,high,0,,75892,85000,,,,,,
0.63,0.98,3,160,4,1,0,marketing,low,0,,15602,23500,,,,,,
0.49,0.92,5,176,3,0,0,marketing,low,0,,22066,24500,,,,,,
0.7,0.7,3,224,3,0,0,sales,low,0,,20171,23500,,,,,,
0.3,0.71,3,155,2,0,0,sales,low,0,,20316,24500,,,,,,
0.51,0.52,3,132,3,0,0,sales,low,0,,24268,24500,,,,,,
0.71,0.87,5,173,3,0,0,sales,low,0,,16646,23500,,,,,,
0.64,0.67,3,165,3,0,0,sales,low,0,,18908,24500,,,,,,
0.67,0.66,6,272,3,0,0,sales,low,0,,22211,25500,,,,,,
0.83,0.94,5,156,3,1,0,sales,low,0,,19875,25500,,,,,,
0.92,0.96,3,154,2,1,0,sales,low,0,,19128,23500,,,,,,
0.84,0.53,3,237,3,1,0,sales,low,0,,21826,23500,,,,,,
0.97,0.75,2,271,6,0,0,sales,low,0,,24587,23500,,,,,,
0.19,0.91,6,152,3,0,0,sales,low,0,,23596,25500,,,,,,
0.86,0.51,4,152,3,1,0,sales,low,0,,24699,25500,,,,,,
0.71,0.69,3,172,3,0,0,sales,low,0,,18033,24500,,,,,,
0.76,0.56,4,214,2,1,0,sales,medium,0,,44985,56000,,,,,,
0.68,0.88,5,201,3,0,0,sales,medium,0,,44833,43000,,,,,,
0.61,0.99,2,275,3,1,0,sales,medium,0,,32002,56000,,,,,,
0.85,0.79,3,156,3,0,0,sales,medium,0,,37330,56000,,,,,,
0.84,0.89,3,234,2,0,0,sales,medium,0,,28339,56000,,,,,,
0.62,0.63,2,123,2,0,0,sales,medium,0,,44483,50000,,,,,,
0.77,0.76,3,201,4,0,0,accounting,medium,0,,42618,43000,,,,,,
0.79,0.93,5,160,4,1,0,accounting,medium,0,,26936,43000,,,,,,
